,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,PnL,CumPnL
2010-01-07,0.006076712071872184,0.004354804167325957,0.008953703941331017,0.007749945199489981,0.003776870151001224,0.011809302676263421,-0.01991286679519951,0.9800871332048005
2010-01-08,0.005954353668021242,0.004931722272970503,0.005134358527447753,0.010605795059098698,0.005187678700397221,0.007780740561902117,-0.019409320743652203,0.9610643076797019
2010-02-01,0.006739494990059094,0.0018828397952261502,0.011065911657190864,0.011587214702625123,0.0052957011032661525,0.008446247374467102,-0.019742830191961134,0.9420901782496268
2010-02-02,0.0022064811082266786,0.0018577662661312256,-0.007273568189212,0.011681741805811783,0.005067389884201972,0.003373686453929224,-0.009107091129883444,0.9335104771437394
2010-02-03,-0.006117355738610263,-0.005604430465398959,-0.02006466265688383,-0.010823299462845314,-0.011338972976819338,-0.006327367149366518,0.008631517755142537,0.9415680894018171
2010-02-04,0.006509422529083769,0.005589432335316741,0.018204360080557775,0.011344481252357328,0.004848162660116473,0.002625925070934453,-0.022910684992920295,0.9199961195061463
2010-02-05,0.006701150313631178,0.005638289273689447,0.007236860448654574,0.011618176903949078,0.005921435041780717,-0.003053685645325904,-0.016387718762544246,0.9049194818370475
2010-02-08,0.0069068389054714185,0.0021554428900364673,0.021603211252989987,0.012068081723115997,0.006491183327600187,0.0034243384956190856,-0.022796516165096297,0.8842904702412387
2010-02-09,0.0068900235312686865,0.002236324577547693,0.019664316004010845,0.012032594936057944,-0.0059510728704966175,-0.0033818538171489637,-0.014964459404014314,0.871057541397957
2010-02-10,0.0062116453784084235,0.005710949085425156,0.0203481675891004,0.011306037988235923,0.015473604516352242,0.0027922461301105334,-0.02591652156659929,0.8484827598405679
2010-02-11,0.0061449650537210646,0.005603127916980289,0.01797659277551334,0.010933525836558657,0.013943534630404358,0.008436935914372948,-0.022510545438511897,0.8293829501213827
2010-02-12,0.006289500397650246,0.0057135497795825375,0.005920056374019814,0.003911144758674256,0.012687485205512435,0.008881430672692224,-0.02237430090526948,0.8108260864296668
2010-02-15,0.006746818393755513,0.00625751810347239,0.019583084402958036,0.01251390122167019,0.01280030801517021,0.009339981094022122,-0.01747933854903936,0.79665338276057
2010-02-16,0.006636212348557281,0.005956148813699213,0.018776872759878275,0.01259059460825116,0.0041058753263052555,0.009121411130123627,-0.02688765956501707,0.7752332378135846
2010-02-17,0.0023025879249011214,0.002036935926999607,0.018094935221081358,0.012206854322245324,-0.004107067352981881,0.008597639067986476,-0.019402823070099978,0.7601915244622268
