,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,CumPnL
2010-01-07,-2354472.0765516353,-1554670.9339456912,-2625997.4011780526,-6780044.538514122,483119.73086387163,483120.73086387163
2010-01-08,-0.07847275789417502,-0.09799437439431673,0.07448351077689502,0.27512464160058514,-0.031151326139851984,468070.8794118075
2010-02-01,-0.06603872717644661,-0.07461716850833455,0.04557229066078939,0.16413442171319428,-0.02341756302716792,457109.8000919996
2010-02-02,-0.03579718268683635,-0.03751938544658654,-0.023353074991483855,-0.08237942973820528,0.020762359492089922,466600.478088867
2010-02-03,0.034843785194317384,0.03779309041541863,-0.02397586416318056,-0.08742512314825467,0.008503721725309853,470568.31871143123
2010-02-04,-0.03986883825288498,-0.03852164055248476,-0.06977675040742995,-0.088260855054433,0.0082030392443148,474428.40909695235
2010-02-05,-0.03684716479785871,-0.037145544606458615,-0.02511671933556141,-0.09403877260454617,0.016174667185654027,482102.13071751484
2010-02-08,-0.10846800705056463,-0.11553114390769495,-0.08258200168735344,-0.29190459638367927,0.009138871102602156,486507.999948432
2010-02-09,-0.10291053210210777,-0.11335140956478881,-0.08774801304358491,-0.2948784082332868,0.010118201810350325,491430.5860742601
2010-02-10,-0.034575833472259426,-0.03840523822658632,-0.09707021059415888,0.10889279481207068,0.0011505298455542264,491995.9916305568
2010-02-11,-0.09293779370076131,-0.10237903727066974,-0.03127121224334681,0.09935807147804075,-0.008998571817240885,487568.73036607465
2010-02-12,-0.03399279023572148,-0.038386961353589856,0.06503984255271397,-0.3366948285984626,0.0030396060912588254,489050.7472488027
2010-02-15,-0.10220978463685576,-0.11262204421425778,-0.05760174319742822,-0.29382401317057283,0.019454045347854207,498564.76266318286
2010-02-16,-0.09474213766337344,-0.10390743540124164,-0.05610554068787198,-0.09658560830342662,-0.004742761757122545,496200.18877337506
2010-02-17,-0.0901110931562563,-0.09880675640572893,-0.056756857188928006,-0.284836269031794,0.005720959767456919,499038.93008995213
2010-02-18,-0.031923554399337216,-0.09772679487100479,-0.019751601277415962,-0.28329683097110153,0.008142169698087544,503102.18974469654
2010-02-19,0.03223726991405911,0.03540628783200818,0.020893879085830697,0.09185512798882288,-0.015180875114424747,495464.65823238867
2010-02-22,-0.09183651584286384,-0.09550001462844965,-0.01874584097171869,-0.08623406698473328,-0.007500961599116644,491748.1968572681
2010-02-23,-0.0858779008424196,-0.09020413181775776,-0.05613912644650865,-0.08661963606664559,-0.004795427287243047,489390.0541356062
2010-02-24,-0.028931144715895876,-0.030175095341335008,-0.018929727286609636,0.21898988445651404,-0.019221334920050886,479983.32399852393
2010-02-25,-0.08427321378851174,-0.08683506840831817,-0.05722844548540415,-0.07153045771168998,-0.006730948990263525,476752.5807285128
2010-02-26,-0.02853769756991748,0.030734335264693453,0.05237138134684074,-0.07661860574397841,-0.00946644428128523,472239.4289870874
2010-03-01,-0.08464498207330512,-0.08819149533765269,-0.048425827037311624,-0.07130193391632464,-0.003845303646576598,470423.5249887461
2010-03-02,0.030992195178252885,0.03392846567197158,0.046658401414585104,0.06860438881334895,-0.023100595807934526,459556.4612794373
2010-03-03,-0.03231295415792963,-0.03366467762498442,-0.0457299010717621,-0.06816287453897803,0.00440952413469641,461582.88658670464
2010-03-04,0.03285233267261106,0.03363155764547767,-0.015397677806037442,0.0694394218366988,0.0009385213947884462,462016.0920012344
2010-03-05,-0.03415389141860482,-0.03506542220236788,0.046864350372126426,0.07327684793574,-0.01467286571394385,455236.99192561914
2010-03-08,-0.09458715915591638,-0.0938805590524737,-0.04318096679679232,-0.21809249903967406,-0.0035422370325076426,453624.4345942528
2010-03-09,-0.089855768939425,-0.09144986335184066,-0.014509985787270476,-0.22013351824784239,-0.005074313361215676,451322.60206481727
2010-03-10,-0.08597712443598278,-0.08911951445551045,-0.043824130719367506,-0.22452797880627479,-0.0017210167136840811,450545.8683234003
2010-03-11,-0.08459979013419915,-0.0879370977737229,-0.014465284580969087,0.07361855328444053,-0.013720563757816813,444364.12501124816
