,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,PnL,CumPnL
2010-01-07,0.004297508138060048,0.003416285980248032,0.0010582800279189913,0.0029810401254329833,0.0027642028934859912,0.004019909977818336,0.009534033476086856,0.0031747909889743367,0.003523441488252002,0.004100496495057311,0.0032902640519269677,0.0048648418986524875,0.003788868059540125,0.007865102307134018,0.004148987150026002,-0.008889943127157832,0.9911100568728421
2010-01-08,0.014729347452902082,0.011843609609756525,0.010597106908314943,0.012383413398679384,0.0035634146297682493,0.012952686960473971,0.013924962432815052,0.01019163996401405,0.004541993191274416,-0.004591455871329675,0.004825160780244766,0.01552792718708638,0.01815776184168238,-0.005982380637015921,-0.011798693916652043,-0.02205326115269412,0.9692528479575638
2010-02-01,-0.0033098844689602763,-0.003124151985145888,0.005939116023677799,-0.0038219525488050756,0.003953457942291726,0.004523752899285658,0.010998934819406518,0.006767612398697878,0.006730512150889364,0.00740382716885523,0.006962677400507572,0.010890108152478681,-0.0055907793859953534,-0.005534791624119185,-0.009143570273407299,-0.020802880104491606,0.9490895971705656
2010-02-02,0.002957698608533077,0.003466600767604779,0.001638639532046963,0.0032231986143082957,0.002776576751652377,0.00794850151210495,0.006379028545800447,0.004899281809035165,0.0034765959003461517,0.004354781015833515,0.013018307789643966,0.008180383628243642,0.010223110202801092,0.0047922817122215446,0.0071930379186721976,-0.00981572036672074,0.9397735990817757
2010-02-03,-0.003682282727772218,-0.0035675435943456246,-0.003013209750309068,-0.004018640690771396,-0.004113529506792388,-0.0060656511548909196,-0.005319440822932038,-0.004459294657076191,-0.008872059974385511,-0.011039018391674442,0.0023357590383772256,0.017493611483465985,-0.009546325969950382,-0.013310855244481017,0.0022692915970136582,-0.031934265372160216,0.9097626195789481
2010-02-04,-0.0010012417746567903,-0.000998845302421879,-0.0008016570845260087,0.0011314668583633156,-0.0012064403200297638,0.005119236478453635,0.0016849208123972449,0.001654330771154721,0.006526490989905523,0.008123938293864026,0.0022756770657534225,0.01242223356065398,0.006971688878723385,0.009676874500183097,-0.0020237322453757396,-0.02398281913529578,0.8879439472175333
2010-02-05,0.002683236686896852,0.00264491349765735,0.0007133834065589375,0.0030384834670073614,0.003143526292430691,0.004344956546397222,0.004322034535029605,0.004062506088452533,0.00229814314226475,0.006498038604607546,0.0056385238461616515,0.004549867183977983,0.005599434597510644,0.0031614410938312003,0.0020060539342309043,-0.018648156113600378,0.8713854298696943
2010-02-08,0.002378926338081048,0.00231522749508583,-0.0019540290961839115,0.0025841895153161576,0.0027383367052107037,0.0037358805883375306,0.0036851833000894137,0.0033585818846667242,0.005360009240983407,0.0052612301981025235,0.004776282132170008,0.010549610714297176,0.004951703732288219,0.007416439958136164,-0.0018053457608743647,-0.02426712988107175,0.8502394064665729
2010-02-09,0.002446848258314307,0.0023877004085331305,-0.002006527644576641,0.002625452906624786,0.0028045104259677846,0.0037814705008927542,0.0013312674926035499,0.0012113186086271514,0.0018775292515358865,0.0018431924939725098,0.004866813430645089,0.0037004005807112607,0.004675619691683106,0.0069786985542587485,-0.0018812876288235186,-0.01678468106244858,0.835968409202306
2010-02-10,-0.0009328797902297935,-0.0009135193346010203,-0.002310945410767098,-0.0010154733255911667,0.0029999402370309283,0.004452120048313007,0.005123850118275951,0.003575401370839407,0.006181055820086083,0.006627651507856367,0.0021599873164375675,0.009858000566668313,0.0047605538284350496,0.006468098759008016,-0.005031219277419799,-0.024690102133208193,0.8153282637989654
